Time,Open,High,Low,Close,Adj Close,Volume
2/21/2017,0.005871,0.005909,0.005735,0.005832,0.005832,653081
2/22/2017,0.005849,0.005887,0.005817,0.00586,0.00586,500712
2/23/2017,0.005856,0.005943,0.005798,0.005895,0.005895,750533
2/24/2017,0.005883,0.005919,0.005644,0.005701,0.005701,1343690
2/25/2017,0.0057,0.005743,0.005628,0.005665,0.005665,684577
2/26/2017,0.005664,0.005733,0.005651,0.005671,0.005671,258373
2/27/2017,0.005665,0.005696,0.005608,0.005609,0.005609,641126
2/28/2017,0.005608,0.005631,0.005438,0.005536,0.005536,1693350
3/1/2017,0.005525,0.005547,0.005372,0.005408,0.005408,1630460
3/2/2017,0.005419,0.006217,0.005408,0.005991,0.005991,3811500
3/3/2017,0.005988,0.006346,0.005968,0.006339,0.006339,2703850
3/4/2017,0.006354,0.006497,0.006278,0.006299,0.006299,1372440
3/5/2017,0.00629,0.006389,0.006129,0.006129,0.006129,1044760
3/6/2017,0.006129,0.006221,0.006047,0.006057,0.006057,1023500
3/7/2017,0.006057,0.006577,0.005974,0.006534,0.006534,2901920
3/8/2017,0.006551,0.006776,0.006363,0.006509,0.006509,3432500
3/9/2017,0.006485,0.006606,0.006423,0.006498,0.006498,2064660
3/10/2017,0.006503,0.006546,0.00605,0.006227,0.006227,3144440
3/11/2017,0.006229,0.006383,0.00613,0.006238,0.006238,1818590
3/12/2017,0.006214,0.006313,0.006086,0.006255,0.006255,1531030
3/13/2017,0.006271,0.006429,0.006156,0.006385,0.006385,2561890
3/14/2017,0.006346,0.006406,0.006277,0.006381,0.006381,1358830
3/15/2017,0.00637,0.0065,0.006301,0.006314,0.006314,1376090
3/16/2017,0.006319,0.006409,0.006213,0.006394,0.006394,3860210
3/17/2017,0.006406,0.006406,0.00597,0.006116,0.006116,3442010
3/18/2017,0.006137,0.007396,0.006118,0.00671,0.00671,7223300
3/19/2017,0.006736,0.007198,0.006556,0.006912,0.006912,4241970
3/20/2017,0.006915,0.007112,0.006761,0.006975,0.006975,3423710
3/21/2017,0.006996,0.007075,0.006792,0.006909,0.006909,3021440
3/22/2017,0.006908,0.00746,0.006882,0.007301,0.007301,4652530
3/23/2017,0.007284,0.010582,0.007258,0.010582,0.010582,12315100
3/24/2017,0.010528,0.010825,0.009135,0.010518,0.010518,24493700
3/25/2017,0.010502,0.010711,0.00904,0.009116,0.009116,11334900
3/26/2017,0.009159,0.00984,0.009079,0.009545,0.009545,5475230
3/27/2017,0.009482,0.010053,0.009155,0.009597,0.009597,6336150
3/28/2017,0.009568,0.009644,0.00928,0.009514,0.009514,3111280
3/29/2017,0.009526,0.010101,0.00952,0.010101,0.010101,3344230
